Time,Label (common/hard fault),Label (common/soft fault),Label (common/controller fault),Label (common/hard and soft),Label (common/all),Label (advanced/hard fault),Label (advanced/soft fault),Label (advanced/controller fault),T101,T102,T104,T106,T108,T110,T112,T114,T116,PDIC101,PDIC102,PDIC103,PIC101,A102,M102,A101,M101,A103,M103,R,AV101,AV103,AV104,AV105,AV106,AV107,AV108,AV109,TV101,TH101_SetPoint,TH101_Temperature,TH101_Start,TH101_Status,TH102_SetPoint,TH102_Temperature,TH102_Start,TH102_Status,TH103_SetPoint,TH103_Temperature,TH103_Start,TH103_Status,FI101_Pulses,T_ERROR_0
12/5/2023 15:02,0,0,0,0,0,0,0,0,107.6,108.2,107.6,107.7,107.5,107.8,107.5,102,94.4,1,1.9,0.4,1273.8,0.3,2.1,99,5.1,0.3,2.7,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,50,127,127.400002,TRUE,FALSE,0,25.700001,TRUE,FALSE,105,97.5,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:02,0,0,0,0,0,0,0,0,107.8,108.4,107.7,107.7,107.5,108,108,103.5,94.3,1,1.9,0.1,1272.8,0.4,2.1,98.9,3.4,0.3,2.6,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,49,127,127.400002,TRUE,FALSE,0,25.799999,TRUE,FALSE,105,97.400002,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:03,0,0,0,0,0,0,0,0,107.1,107.7,107,107.1,107,107.5,107.7,105,94.3,0.8,2.2,0.1,1244.2,0.4,2.1,98.8,4.7,0.4,2.5,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,128,127.300003,TRUE,FALSE,0,25.799999,TRUE,FALSE,105,97.300003,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:03,0,0,0,0,0,0,0,0,107.3,107.8,107.3,107.3,107.1,107.5,107.4,102.5,94,1,1.1,0.4,1278.4,0.4,2.2,98.8,5.1,0.4,2.5,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,50,126,127.199997,TRUE,FALSE,0,25.9,TRUE,FALSE,105,97.199997,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:04,0,0,0,0,0,0,0,0,107,107.5,106.5,106.6,106.4,106.9,106.8,104.3,94.3,0.7,0.8,0.1,1254.3,0.4,2.5,98.8,4.7,0.4,2.4,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49,124,126.800003,TRUE,FALSE,0,26.799999,TRUE,FALSE,105,97.099998,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:04,0,0,0,0,0,0,0,0,106.9,107.4,106.8,106.8,106.6,107.1,107.1,103.3,93.8,1.1,0.2,0.2,1258.8,0.5,2.6,98.7,3.4,0.4,2.4,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49,125,126.300003,TRUE,FALSE,0,26.9,TRUE,FALSE,105,97,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:05,0,0,0,0,0,0,0,0,107.4,108,107.4,107.3,106.7,107.2,106.4,100.6,93.8,0.9,4.1,0.3,1231.6,0.5,2.6,98.6,4.7,0.5,2.4,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,47,124,125.900002,TRUE,FALSE,0,27.299999,TRUE,FALSE,105,96.900002,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:05,0,0,0,0,0,0,0,0,107.1,107.6,107.1,107.1,106.8,107.4,107.2,102.4,93.7,1,0.8,0.2,1280.8,0.5,2.9,98.6,5.1,0.5,2.4,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,50,124,125.300003,TRUE,FALSE,0,27.5,TRUE,FALSE,105,96.900002,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:06,0,0,0,0,0,0,0,0,107.4,107.9,107.3,107.3,107,107.5,107.3,101.7,93.7,0.9,0.3,0.1,1257,0.5,2.6,98.6,4.7,0.5,2.5,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,47,126,124.900002,TRUE,FALSE,0,27.1,TRUE,FALSE,105,96.800003,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:06,0,0,0,0,0,0,0,0,107.1,107.6,107.1,107.1,107.1,107.4,107.2,102.8,93.4,1,0.9,0.4,1263.7,0.5,2.4,98.5,3.4,0.5,2.5,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,127,125,TRUE,FALSE,0,27.200001,TRUE,FALSE,105,96.699997,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:07,0,0,0,0,0,0,0,0,107.2,107.8,106.9,106.8,106,106.9,106.7,102.4,93.6,0.7,3.5,0.5,1246.6,0.6,2.3,55,4.7,0.5,2.5,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,50,127,125.099998,TRUE,FALSE,0,26.799999,TRUE,FALSE,105,96.599998,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:07,0,0,0,0,0,0,0,0,107.6,108.2,107.5,107.4,106.7,107,106.4,100,93.3,1.1,0.3,0.1,1281.4,0.6,2.2,98.5,5.6,0.6,2.5,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,48,127,125.5,TRUE,FALSE,0,27,TRUE,FALSE,105,96.5,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:08,0,0,0,0,0,0,0,0,107,107.5,106.8,106.9,106.6,107.2,107.3,104,93.3,1,0.2,0.2,1263.6,0.6,2.2,98.5,5.2,0.6,2.5,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49,125,125.599998,TRUE,FALSE,0,27,TRUE,FALSE,105,96.400002,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:08,0,0,0,0,0,0,0,0,107.2,107.7,107.1,107.1,106.7,107.4,107.1,102.4,93.2,0.9,3,0.3,1221.7,0.6,2.1,98.4,5.1,0.6,2.4,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,47,124,125.300003,TRUE,FALSE,0,26.5,TRUE,FALSE,105,96.300003,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:09,0,0,0,0,0,0,0,0,107,107.5,106.7,106.8,106.5,106.9,106.5,103.1,93.2,0.9,1.2,0.2,1245.9,0.6,2.2,98.4,3.5,0.6,2.3,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,126,125,TRUE,FALSE,0,26.9,TRUE,FALSE,105,96.199997,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:09,0,0,0,0,0,0,0,0,106.5,107.1,106.3,106.2,106.2,106.8,106.8,104.1,93,1.1,0.1,0.2,1249.8,0.7,2.2,98.3,4.8,0.6,2.3,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,126,125.099998,TRUE,FALSE,0,27.1,TRUE,FALSE,105,96.099998,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:10,0,0,0,0,0,0,0,0,107.1,107.6,107.1,107.1,106.5,107.1,106.7,100.6,92.8,0.8,1.5,0.4,1248.4,0.7,2.3,98.3,5.3,0.7,2.2,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,49,124,125,TRUE,FALSE,0,27.200001,TRUE,FALSE,105,96.099998,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:10,0,0,0,0,0,0,0,0,107.5,108,107.2,107.3,106.8,107.3,107.1,101.6,92.8,0.9,0.4,0.1,1264.4,0.7,2.3,98.2,4.8,0.7,2.2,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,124,124.599998,TRUE,FALSE,0,27.5,TRUE,FALSE,105,96,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:11,0,0,0,0,0,0,0,0,107.2,107.7,107.1,107.2,106.8,107.3,107,101.5,92.8,1.1,0.6,0.2,1286.3,0.7,2.6,98.3,4.1,4,2.2,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,47,126,124.400002,TRUE,FALSE,0,27.1,TRUE,FALSE,105,95.900002,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:11,0,0,0,0,0,0,0,0,106.8,107.4,106.6,106.7,106.6,107,107.2,104.1,92.7,0.8,2,0.1,1224.5,0.7,2.2,98.1,6.4,0.7,2.2,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,49,128,124.900002,TRUE,FALSE,0,26.700001,TRUE,FALSE,105,95.800003,TRUE,FALSE,TRUE,FALSE
12/5/2023 15:12,0,0,0,0,0,0,0,0,107.4,108.3,107.7,107.4,106.7,106.7,105.2,98.8,92,1.1,0.4,0.3,1319.9,0.7,2,98.1,4.8,0.7,2.2,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,50,127,125.5,TRUE,FALSE,0,26.4,TRUE,FALSE,105,95.800003,TRUE,FALSE,TRUE,FALSE
