Time,Label (common/hard fault),Label (common/soft fault),Label (common/controller fault),Label (common/hard and soft),Label (common/all),Label (advanced/hard fault),Label (advanced/soft fault),Label (advanced/controller fault),T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T116,PDIC101,PDIC102,PIC101,P101,TV101,H103_heating_power,H105_heating_power,H107_heating_power,H109_heating_power,H111_heating_power,H113_heating_power,TH101_SetPoint,TH101_Temperature,TH102_SetPoint,TH102_Temperature,TH103_SetPoint,TH103_Temperature,A104,M104,A101,M101,A103,M107,M106,A106,A107,M103,F101,F102,F103,F104,AV101,AV103,AV104,AV105,AV106,AV107,AV108,AV109,FI101_Pulses,HT_EN_0,HT_ON,LS101,LS102,LS103,LS104,P102,PS102,PS103,PS104,SP_OK,TH101_Start,TH101_Status,TH102_Start,TH102_Status,TH103_Start,TH103_Status,T_ERROR_0,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T213,PDIC201,PDIC202,PIC201,P201,TV201,H203_heating_power,H205_heating_power,H207_heating_power,H209_heating_power,H211_heating_power,H213_heating_power,TH201_SetPoint,TH201_Temperature,TH202_SetPoint,TH202_Temperature,TH203_SetPoint,TH203_Temperature,A203,M203,AV109,AV201,AV203,AV205,AV207,AV208,FI201_Pulses,HT_EN_0,HT_ON,LS201,LS202,LS203,LS204,P204,PS102,PS104,SP_OK,TH201_Start,TH201_Status,TH202_Start,TH202_Status,TH203_Start,TH203_Status,T_ERROR_0
11:20:00,0,0,0,0,0,0,0,0,100.65,100.82,112.47,100.33,115.25,99.7,130.05,100.66,118.98,100.63,114.04,101.06,116.36,99.28,95.54,0.708667,0.505667,978.384705,30,0,60,60,60,60,60,60,135,135,0,18.4,120,98.199997,1.346,0.777424,79.5,3.64928,0,1.091179,-0.376399,11.42,11.343,0,2.040574,3.130691,2.262539,4.159747, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.75,119.07,106.89,117.03,103.52,119.5,TRUE,116.64,TRUE,108.75,TRUE,118.8,TRUE,0.445,0.336667,978.073975,30,0,60,60,60,60,60,60,145,145,0,17.200001,0,23.6,0,0, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
11:20:30,0,0,0,0,0,0,0,0,100.66,100.82,112.68,100.38,115.47,99.7,130.23,100.68,119.17,100.64,114.21,101.08,116.62,99.29,95.3,0.748333,0.465333,978.384705,30,0,60,60,60,60,60,60,135,135,0,18.4,120,98.099998,1.345,0.810192,79.449997,3.706951,0,1.027911,-0.375338,11.426,11.35,0,2.041265,3.132197,2.300149,4.111297, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.74,119.09,107.39,117.03,104.05,119.49,TRUE,116.61,TRUE,108.76,TRUE,118.8,TRUE,0.454333,0.340667,978.033936,30,0,60,60,60,60,60,60,145,145,0,17.4,0,23.6,0,0, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
11:21:00,0,0,0,0,0,0,0,0,100.67,100.8,112.92,100.35,115.65,99.73,130.4,100.68,119.37,100.65,114.44,101.19,116.84,99.29,95.23,0.896667,0.480333,978.469666,30,0,60,60,60,60,60,60,135,135,0,18.4,120,98,1.342,0.641447,79.449997,3.706951,0,0.953047,-0.21759,11.427,11.362,0,2.041104,3.134342,2.316068,4.238709, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.74,119.09,107.79,117.04,104.42,119.47,TRUE,116.63,TRUE,108.75,TRUE,118.84,TRUE,0.444333,0.338333,978.033936,30,0,60,60,60,60,60,60,145,145,0,17.5,0,23.6,0,0, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
11:21:30,0,0,0,0,0,0,0,0,100.64,100.8,113.11,100.32,115.88,99.67,130.55,100.67,119.54,100.62,114.55,101.15,116.93,99.3,95.2,0.703667,0.478667,978.469666,30,0,60,60,60,60,60,60,135,135,0,18.4,120,97.900002,1.341,-0.300432,79.349998,3.693742,0.11,0.977414,-0.111319,11.428,11.371,0,2.041515,3.138849,2.31375,4.162106, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.73,119.08,108.07,117.06,104.68,119.5,TRUE,116.67,TRUE,108.79,TRUE,118.85,TRUE,0.45,0.337,978.033936,30,0,60,60,60,60,60,60,145,145,0,17.6,0,23.6,3,0, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
11:22:00,0,0,0,0,0,0,0,0,100.73,100.84,113.29,100.35,116.05,99.75,130.68,100.68,119.7,100.66,114.7,101.1,117.08,99.3,95.11,0.788333,0.490667,978.979065,30,0,60,60,60,60,60,60,135,134.899994,0,18.5,120,97.800003,1.339,-0.238579,79.349998,3.693742,0.17,0.978594,0.029175,11.42,11.376,0.935974,2.041351,3.133261,2.306879,4.125, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.76,119.07,108.49,117.06,105.13,119.51,TRUE,116.66,TRUE,108.78,TRUE,118.84,TRUE,0.439,0.336333,977.993652,30,0,60,60,60,60,60,60,145,144.899994,0,17.700001,0,23.6,3,0, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
11:22:30,0,0,0,0,0,0,0,0,100.62,100.82,113.44,100.27,116.15,99.68,130.79,100.63,119.84,100.67,114.94,101.03,117.35,99.29,95.05,0.628,0.487,978.894104,30,0,60,60,60,60,60,60,135,134.899994,0,18.5,120,97.699997,1.336,-0.23203,79.300003,3.618887,0.23,0.934706,0.054931,11.42,11.383,4.637435,2.040091,3.134349,2.299042,4.10064, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.74,119.1,108.86,117.06,105.54,119.49,TRUE,116.64,TRUE,108.76,TRUE,118.92,TRUE,0.438333,0.347667,977.993652,30,0,60,60,60,60,60,60,145,145,0,17.799999,0,23.6,3,7.796529, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
11:23:00,0,0,0,0,0,0,0,0,100.63,100.79,113.61,100.28,116.36,99.67,130.91,100.66,119.95,100.64,115.13,100.98,117.51,99.28,95.02,0.795667,0.496333,978.724304,30,0,60,60,60,60,60,60,135,135,0,18.5,120,97.699997,1.332,-0.309327,79.300003,3.618887,0.28,0.93979,0.154262,11.44,11.394,6.828129,2.040867,3.133228,2.290413,4.154585, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.73,119.1,109.34,117.04,106,119.45,TRUE,116.64,TRUE,108.76,TRUE,118.88,TRUE,0.438333,0.342667,977.953613,30,0,60,60,60,60,60,60,145,145,0,17.9,0,23.6,3,99.296629, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
11:23:30,0,0,0,0,0,0,0,0,100.69,100.8,113.8,100.28,116.58,99.68,131.07,100.65,120.16,100.65,115.33,100.97,117.74,99.27,94.9,0.776667,0.457667,977.960266,30,0,60,60,60,60,60,60,135,135,0,18.5,120,97.699997,1.331,-0.310073,79.25,3.729712,0,0.949156,0.296375,11,11.401,6.707181,2.04129,3.134027,2.275957,4.256387, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.75,119.09,109.67,117.06,106.37,119.5,TRUE,116.66,TRUE,108.74,TRUE,118.88,TRUE,0.44,0.346667,977.993652,30,0,60,60,60,60,60,60,145,145,0,18,0,23.6,3,99.296629, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
11:24:00,0,0,0,0,0,0,0,0,100.61,100.8,114.02,100.27,116.76,99.72,131.2,100.66,120.32,100.63,115.44,100.92,117.84,99.29,94.76,0.701,0.577667,978.299866,30,0,60,60,60,60,60,60,135,135,0,18.5,120,97.599998,1.327,-0.295934,79.25,3.729712,0.39,0.960499,0.265015,1.442,11.406,6.768194,2.041972,3.135708,2.269166,4.095313, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.73,119.09,110.01,117.07,106.68,119.51,TRUE,116.66,TRUE,108.78,TRUE,118.9,TRUE,0.43,0.348,977.953613,30,0,60,60,60,60,60,60,145,144.899994,0,18.1,0,23.6,3,0, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
11:24:30,0,0,0,0,0,0,0,0,100.63,100.79,114.15,100.21,116.88,99.7,131.31,100.67,120.42,100.65,115.65,100.92,118.04,99.27,94.73,0.701667,0.498,978.639465,30,0,60,60,60,60,60,60,135,135,0,18.5,120,97.599998,1.325,-0.30563,79.199997,3.790644,0.44,0.881908,0.367476,1,11.412,6.598956,2.042241,3.140683,2.270877,4.133794, TRUE , FALSE , FALSE , FALSE , TRUE , FALSE , TRUE , TRUE ,FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,118.73,119.06,110.37,117.06,107.02,119.5,TRUE,116.67,TRUE,108.8,TRUE,118.9,TRUE,0.427667,0.346,977.953613,30,0,60,60,60,60,60,60,145,145,0,18.200001,0,23.6,3,0, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE 
